x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
529.689,201.693,524.019,345.77,339.904,345.799,282.226,616.196,426.138,656.007,702.179,345.61,788.441,610.104,702.35,604.337,529.668,719.651,437.737,719.682,,,,,621.792,719.649,,,,,489.33,156.054,569.907,155.795,437.559,178.893,615.982,167.54,,,,,,,,,,,,
558.371,195.996,535.49,368.589,357.221,351.391,201.977,570.127,293.751,529.5,708.159,380.051,794.133,587.28,679.311,661.806,,,,,,,,,,,,,,,523.702,155.79,581.639,155.765,466.399,173.001,627.72,173.189,,,,,,,,,,,,
569.823,161.742,564.282,357.103,380.189,357.068,293.714,639.011,385.743,552.651,736.784,357.105,805.612,570.142,759.838,622.006,,,,,,,,,,,,,,,529.492,121.493,609.975,127.077,478.059,161.58,650.378,161.854,,,,,,,,,,,,
518.009,178.922,506.57,374.351,339.68,374.309,259.271,615.879,466.295,667.919,667.8,374.433,759.832,592.94,673.566,662.19,506.575,719.662,,,,,,,,,,,,,477.935,155.51,541.263,155.468,431.614,173.207,587.249,173.01,,,,,,,,,,,,
575.444,178.903,569.69,362.887,385.759,362.979,334.181,661.939,391.513,564.133,748.092,357.203,800.246,575.823,754.023,622.023,,,,,,,,,,,,,,,530.036,149.89,615.743,149.9,483.571,161.863,661.774,167.335,,,,,,,,,,,,
477.829,207.463,472.128,380.202,294.14,374.383,242.053,621.967,351.281,535.576,639.03,380.209,713.616,610.316,581.545,667.584,,,,,,,,,,,,,,,437.421,161.836,512.405,161.565,385.709,195.97,558.42,178.83,,,,,,,,,,,,
529.77,195.933,524.088,385.591,345.51,385.619,276.55,667.495,403.066,662.064,719.447,380.056,794.215,621.525,736.817,621.917,524.042,719.671,,,,,,,,,,,,,489.504,155.561,569.947,150.136,437.599,161.851,615.975,161.603,,,,,,,,,,,,
512.384,196.133,500.854,374.272,316.815,380.054,288.024,667.444,489.572,615.716,673.418,357.193,765.571,615.768,713.832,615.95,524.15,719.667,,,,,,,,,,,,,477.608,155.716,535.614,155.747,414.534,167.235,581.474,167.396,,,,,,,,,,,,
529.665,207.342,506.707,385.552,328.34,380.127,276.498,644.65,483.979,661.706,668.077,385.555,759.922,610.0,707.838,656.296,523.744,719.696,,,,,,,,,,,,,484.023,161.699,569.918,161.673,431.971,190.39,615.726,196.056,,,,,,,,,,,,
523.778,196.088,512.318,351.598,339.626,351.285,247.725,570.087,265.067,621.589,673.671,357.224,754.113,575.95,685.054,621.64,495.14,719.643,391.516,719.649,,,,,592.917,719.649,,,,,483.474,155.827,558.396,155.787,431.694,173.069,592.912,173.065,,,,,,,,,,,,
570.001,167.208,558.332,362.91,380.135,351.452,288.158,604.509,437.905,506.683,714.02,380.13,800.0,592.942,696.522,661.913,,,,,,,,,,,,,,,529.783,132.744,610.126,138.616,478.13,167.412,650.508,173.14,,,,,,,,,,,,
518.22,201.948,495.313,345.61,334.189,345.521,253.489,615.69,477.788,667.614,667.773,345.515,742.571,575.559,644.639,661.885,500.975,719.646,397.448,719.631,,,,,575.796,719.673,,,,,477.776,161.536,546.975,156.043,414.715,184.515,587.112,167.413,,,,,,,,,,,,
581.337,196.059,558.351,345.486,374.467,339.658,287.92,615.898,426.227,403.158,719.627,345.946,771.413,598.69,667.92,667.809,,,,,,,,,,,,,,,552.585,155.547,621.783,156.055,483.778,161.633,662.117,196.177,,,,,,,,,,,,
529.931,195.93,529.516,380.205,345.526,385.685,270.768,667.602,431.721,615.774,719.495,380.082,805.557,638.944,731.037,610.122,,,,,,,,,,,,,,,495.079,155.549,570.153,150.132,437.819,161.883,616.21,161.456,,,,,,,,,,,,
535.396,196.045,524.008,380.234,345.52,380.026,293.675,661.659,483.488,639.0,696.501,380.116,794.087,610.007,748.199,655.98,529.344,719.654,,,,,,,,,,,,,501.008,155.639,575.559,155.797,437.885,167.211,616.129,167.531,,,,,,,,,,,,
523.608,161.827,489.614,374.395,322.666,374.235,247.568,615.834,385.876,650.421,662.173,380.004,748.105,587.204,638.912,661.771,477.898,719.656,385.75,719.67,,,,,,,,,,,478.146,132.89,552.735,144.252,431.636,173.085,587.165,178.801,,,,,,,,,,,,
575.614,173.201,569.85,357.268,385.973,357.206,334.087,661.941,403.13,558.41,748.145,357.186,805.634,575.897,754.044,621.971,,,,,,,,,,,,,,,535.466,149.839,615.849,144.401,483.667,161.829,661.847,167.207,,,,,,,,,,,,
512.351,173.068,489.593,357.035,316.878,351.506,230.571,621.5,316.778,598.692,667.714,357.154,753.976,575.894,690.644,621.939,483.866,719.637,391.578,719.671,,,,,570.163,719.649,,,,,477.761,144.243,535.651,144.347,420.409,161.767,581.53,167.344,,,,,,,,,,,,
569.918,161.502,564.281,357.199,385.758,357.206,270.874,621.699,449.198,564.186,742.36,357.12,805.84,581.361,759.885,621.847,,,,,,,,,,,,,,,529.646,121.484,610.068,121.505,478.09,161.63,656.044,167.317,,,,,,,,,,,,
529.853,196.016,523.69,362.827,345.801,345.656,184.622,570.113,242.179,489.494,684.984,380.224,753.986,592.938,638.984,656.201,,,,,,,,,,,,,,,495.166,155.824,569.829,155.777,437.757,173.192,610.142,167.437,,,,,,,,,,,,
535.4,196.085,524.096,380.11,345.517,379.95,293.795,661.8,483.47,644.605,702.222,379.962,799.869,609.985,748.333,650.348,524.264,719.652,,,,,,,,,,,,,506.621,155.614,575.635,155.847,437.967,161.725,616.139,178.756,,,,,,,,,,,,
518.115,196.102,523.61,362.908,345.632,351.292,207.459,552.726,495.158,518.041,684.925,380.097,759.849,587.115,656.311,656.267,,,,,,,,,,,,,,,478.068,155.975,546.965,155.954,431.999,184.622,598.748,190.273,,,,,,,,,,,,
529.717,201.755,524.072,345.74,345.48,345.82,276.627,616.207,403.201,644.683,702.186,345.572,782.76,610.047,707.847,604.361,529.882,719.655,437.587,719.684,,,,,627.429,719.652,,,,,484.024,161.325,569.925,155.857,437.584,184.53,615.953,173.086,,,,,,,,,,,,
547.004,155.998,546.861,357.175,368.516,357.038,299.709,650.355,374.336,483.533,713.909,357.161,777.122,575.932,719.703,621.791,,,,,,,,,,,,,,,518.227,121.297,575.985,121.266,471.937,161.476,621.776,161.363,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506.687,195.826,506.573,351.57,339.658,345.642,253.725,615.764,345.864,661.763,673.387,374.438,748.221,621.666,673.482,627.476,489.576,719.669,391.742,719.712,,,,,,,,,,,472.116,155.609,535.406,155.557,414.642,167.495,581.435,167.316,,,,,,,,,,,,
506.621,196.051,489.626,362.991,316.927,357.031,282.43,656.136,449.218,661.846,667.808,379.889,753.906,604.469,708.086,621.987,489.595,719.649,408.9,719.651,,,,,,,,,,,472.133,155.687,535.487,155.829,408.887,167.415,581.391,173.174,,,,,,,,,,,,
564.039,167.385,541.086,374.259,357.057,374.345,299.791,661.762,437.447,489.578,713.832,374.265,800.257,598.621,753.825,644.712,,,,,,,,,,,,,,,523.932,132.916,592.95,144.23,472.19,167.236,627.647,167.547,,,,,,,,,,,,
523.612,202.041,495.226,380.027,322.649,374.383,264.998,644.688,477.912,662.084,667.788,380.169,759.581,610.183,696.505,656.318,518.178,719.669,,,,,,,,,,,,,478.1,161.542,558.346,161.699,426.083,195.859,598.749,201.573,,,,,,,,,,,,
477.931,207.449,472.165,385.745,294.087,385.676,247.555,656.186,351.404,524.022,638.951,385.608,713.73,615.802,581.46,673.61,,,,,,,,,,,,,,,437.523,161.834,512.494,161.6,385.829,196.048,558.447,178.83,,,,,,,,,,,,
558.354,167.357,535.521,374.337,351.462,374.427,293.899,661.67,414.691,535.466,713.598,368.546,800.046,598.717,753.911,644.74,,,,,,,,,,,,,,,523.718,132.755,587.129,138.567,466.353,167.213,627.387,167.392,,,,,,,,,,,,
530.014,144.379,535.37,345.903,357.063,351.304,293.874,656.322,425.989,523.931,719.455,351.566,805.895,633.153,742.553,529.488,,,,,,,,,,,,,,,495.186,115.311,575.437,115.328,443.532,161.557,621.476,161.511,,,,,,,,,,,,
506.612,201.63,500.876,351.583,334.16,345.616,253.744,615.757,345.924,661.75,673.511,379.969,748.32,621.698,673.652,627.407,483.801,719.663,391.561,719.706,,,,,,,,,,,472.118,155.863,535.452,155.88,409.005,167.197,581.518,161.863,,,,,,,,,,,,
506.685,161.864,495.301,357.098,322.527,351.493,242.159,615.784,311.185,661.632,667.954,362.947,754.084,621.932,673.623,570.024,483.733,719.638,391.542,719.669,,,,,,,,,,,477.611,132.693,535.469,127.177,425.93,161.62,581.523,161.584,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523.765,201.819,489.588,362.99,328.416,357.183,236.317,587.147,379.931,667.903,662.175,379.965,742.418,581.59,627.401,661.681,478.163,719.656,385.706,719.7,,,,,,,,,,,483.624,161.325,558.496,161.442,431.781,167.33,592.905,184.541,,,,,,,,,,,,
535.315,196.055,523.686,385.563,340.057,374.299,293.801,661.807,437.903,523.899,713.754,385.606,788.492,610.221,742.577,656.001,,,,,,,,,,,,,,,500.886,155.721,570.223,155.896,437.829,178.762,615.929,184.521,,,,,,,,,,,,
